"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 04 02:43:23 BRT 2022","Sun Dec 04 02:43:26 BRT 2022","3305","","Registrar Entrevista","","","","Validar criar entrevista sem preencher campos",""
"passed","Sun Dec 04 02:42:57 BRT 2022","Sun Dec 04 02:43:05 BRT 2022","7179","","Registrar Candidato","","","","Validar criar candidato com sucesso",""
"passed","Sun Dec 04 02:43:10 BRT 2022","Sun Dec 04 02:43:23 BRT 2022","12890","","Registrar Entrevista","","","","Validar criar entrevista com sucesso",""
"passed","Sun Dec 04 02:43:38 BRT 2022","Sun Dec 04 02:43:42 BRT 2022","3287","","Registrar Usuario","","","","Validar criar usuario sem preencher campos",""
"passed","Sun Dec 04 02:43:05 BRT 2022","Sun Dec 04 02:43:08 BRT 2022","3330","","Registrar Candidato","","","","Validar criar candidato sem preencher campos",""
"passed","Sun Dec 04 02:42:18 BRT 2022","Sun Dec 04 02:42:21 BRT 2022","3367","","Dashboard","","","","Busca candidato por trilha",""
"passed","Sun Dec 04 02:42:55 BRT 2022","Sun Dec 04 02:42:55 BRT 2022","264","","Login","","","","Validar redirecionamento esqueci minha senhna",""
"passed","Sun Dec 04 02:42:27 BRT 2022","Sun Dec 04 02:42:47 BRT 2022","19859","","fluxo teste","","","","cadastro de candidato e marcaçao de entrevista",""
"passed","Sun Dec 04 02:43:32 BRT 2022","Sun Dec 04 02:43:38 BRT 2022","6594","","Registrar Usuario","","","","Validar criar usuario com sucesso",""
"passed","Sun Dec 04 02:42:49 BRT 2022","Sun Dec 04 02:42:52 BRT 2022","3299","","Login","","","","Validar login com sucesso",""
"passed","Sun Dec 04 02:42:54 BRT 2022","Sun Dec 04 02:42:54 BRT 2022","837","","Login","","","","Validar login sem preencher campo senha",""
"passed","Sun Dec 04 02:41:59 BRT 2022","Sun Dec 04 02:42:03 BRT 2022","3608","","Troca de senha","","","","Validar troca de senha sem preencher campos",""
"passed","Sun Dec 04 02:42:54 BRT 2022","Sun Dec 04 02:42:55 BRT 2022","510","","Login","","","","Validar login sem preencher campo user",""
"passed","Sun Dec 04 02:42:14 BRT 2022","Sun Dec 04 02:42:18 BRT 2022","3380","","Dashboard","","","","Busca candidato por edicao",""
"passed","Sun Dec 04 02:42:53 BRT 2022","Sun Dec 04 02:42:54 BRT 2022","255","","Login","","","","Validar login sem preencher campos",""
"passed","Sun Dec 04 02:42:21 BRT 2022","Sun Dec 04 02:42:24 BRT 2022","3192","","Dashboard","","","","edit perfil",""
"passed","Sun Dec 04 02:42:52 BRT 2022","Sun Dec 04 02:42:53 BRT 2022","1308","","Login","","","","Validar login com erro",""
"passed","Sun Dec 04 02:42:04 BRT 2022","Sun Dec 04 02:42:11 BRT 2022","6735","","Dashboard","","","","Busca candidato por nome",""
